genre1,genre2,count
funeral,gothic,6
powerviolence,sludge,6
drone,crust,6
drone,psychedelic,6
drone,blackened,6
hardcore,power,6
depressive,dark,6
extreme,industrial,6
extreme,experimental,6
crust,drone,6
crust,post-black,6
crust,atmospheric,6
post-rock,shoegaze,6
post-rock,ambient,6
dark,heavy,6
dark,avant-garde,6
dark,depressive,6
electronic,groove,6
roll,grindcore,6
roll,rock,6
roll,groove,6
roll,doom,6
roll,sludge,6
post-black,crust,6
post-black,sludge,6
psychedelic,drone,6
viking,thrash,6
punk,horror,6
punk,raw,6
avant-garde,dark,6
shoegaze,post-rock,6
shoegaze,post-metal,6
pagan,thrash,6
neoclassical,symphonic,6
middle,black,6
eastern,black,6
medieval,gothic,6
jazz,rock,6
rac,groove,6
operatic,symphonic,6
crustcore,death,6
nu-metal,heavy,6
nu-metal,rock,6
post-punk,black,6
post,sludge,6
post-,doom,6
horror,punk,6
death,various,5
death,post-hardcore,5
blackened,folk,5
blackened,groove,5
doom,technical,5
doom,neofolk,5
experimental,electronic,5
experimental,jazz,5
experimental,psychedelic,5
industrial,folk,5
industrial,ebm,5
heavy,aor,5
heavy,technical,5
groove,avant-garde,5
groove,symphonic,5
groove,folk,5
groove,blackened,5
stoner,alternative,5
stoner,grunge,5
rock,dark,5
melodic,punk,5
metalcore,atmospheric,5
technical,doom,5
technical,heavy,5
djent,deathcore,5
black,ritual,5
black,post-hardcore,5
black,electronica,5
raw,pagan,5
speed,epic,5
deathcore,hardcore,5
deathcore,djent,5
atmospheric,metalcore,5
atmospheric,electronic,5
post-metal,post-rock,5
post-metal,post-hardcore,5
post-metal,folk,5
ambient,electronic,5
ambient,punk,5
folk,blackened,5
folk,industrial,5
folk,post-metal,5
folk,groove,5
symphonic,groove,5
funeral,dark,5
funeral,depressive,5
hardcore,deathcore,5
aor,heavy,5
depressive,funeral,5
alternative,stoner,5
post-rock,post-metal,5
dark,rock,5
dark,funeral,5
electronic,ambient,5
electronic,experimental,5
electronic,atmospheric,5
roll,punk,5
post-black,avant-garde,5
epic,speed,5
psychedelic,experimental,5
punk,melodic,5
punk,roll,5
punk,ambient,5
avant-garde,post-black,5
avant-garde,groove,5
post-hardcore,post-metal,5
post-hardcore,death,5
post-hardcore,black,5
pagan,raw,5
electronica,black,5
neoclassical,darkwave,5
jazz,experimental,5
neofolk,doom,5
darkwave,neoclassical,5
various,death,5
grunge,stoner,5
ritual,black,5
ebm,industrial,5
death,grind,4
death,noisecore,4
death,classical,4
thrash,fusion,4
thrash,atmospheric,4
thrash,ambient,4
blackened,power,4
doom,powerviolence,4
doom,neoclassical,4
doom,deathcore,4
doom,speed,4
brutal,crossover,4
experimental,dark,4
experimental,hardcore,4
experimental,raw,4
experimental,post-black,4
industrial,alternative,4
heavy,pagan,4
heavy,fusion,4
heavy,viking,4
heavy,horror,4
heavy,roll,4
groove,speed,4
groove,punk,4
stoner,roll,4
rock,drone,4
rock,shoegaze,4
rock,grindcore,4
progressive,mathcore,4
progressive,viking,4
progressive,music,4
melodic,post-metal,4
melodic,post-rock,4
melodic,aor,4
melodic,depressive,4
melodic,extreme,4
metalcore,hard,4
metalcore,nu-metal,4
metalcore,alternative,4
technical,crossover,4
power,electronics,4
power,crossover,4
power,blackened,4
power,atmospheric,4
grindcore,symphonic,4
grindcore,rock,4
grindcore,atmospheric,4
black,oi!,4
black,electronics,4
black,goregrind,4
black,classical,4
black,jazz,4
southern,crossover,4
raw,experimental,4
raw,viking,4
raw,depressive,4
crossover,technical,4
crossover,power,4
crossover,southern,4
crossover,brutal,4
speed,groove,4
speed,doom,4
speed,shred,4
deathcore,doom,4
atmospheric,grindcore,4
atmospheric,thrash,4
atmospheric,power,4
post-metal,melodic,4
hard,symphonic,4
hard,blues,4
hard,metalcore,4
hard,neoclassical,4
hard,gothic,4
hard,alternative,4
hard,celtic,4
gothic,depressive,4
gothic,hard,4
ambient,electronica,4
ambient,classical,4
ambient,thrash,4
goregrind,black,4
folk,darkwave,4
folk,drone,4
symphonic,hard,4
symphonic,grindcore,4
symphonic,classical,4
powerviolence,doom,4
drone,rock,4
drone,dark,4
drone,post-rock,4
drone,folk,4
hardcore,alternative,4
hardcore,experimental,4
hardcore,post-black,4
shred,speed,4
aor,melodic,4
depressive,gothic,4
depressive,melodic,4
depressive,raw,4
extreme,melodic,4
alternative,hardcore,4
alternative,industrial,4
alternative,hard,4
alternative,metalcore,4
post-rock,melodic,4
post-rock,drone,4
dark,experimental,4
dark,drone,4
dark,electronic,4
electronic,dark,4
roll,stoner,4
roll,heavy,4
post-black,hardcore,4
post-black,experimental,4
viking,raw,4
viking,heavy,4
viking,progressive,4
punk,rac,4
punk,oi!,4
punk,groove,4
shoegaze,rock,4
pagan,rac,4
pagan,heavy,4
electronica,ambient,4
neoclassical,hard,4
neoclassical,doom,4
classical,ambient,4
classical,black,4
classical,death,4
classical,symphonic,4
jazz,black,4
fusion,thrash,4
fusion,heavy,4
rac,pagan,4
rac,punk,4
oi!,black,4
oi!,punk,4
celtic,hard,4
darkwave,folk,4
music,progressive,4
nu-metal,metalcore,4
blues,hard,4
electronics,black,4
electronics,power,4
mathcore,progressive,4
grind,death,4
noisecore,death,4
horror,heavy,4
death,grunge,3
death,extreme,3
death,shred,3
death,trance,3
death,mathcore,3
death,funk,3
death,thrashcore,3
thrash,psychedelic,3
thrash,oi!,3
thrash,raw,3
blackened,hardcore,3
blackened,post-metal,3
blackened,rock,3
blackened,funeral,3
doom,acoustic,3
doom,viking,3
doom,shoegaze,3
brutal,metalcore,3
brutal,symphonic,3
brutal,noise,3
experimental,crossover,3
experimental,depressive,3
experimental,power,3
experimental,acoustic,3
industrial,martial,3
industrial,technical,3
industrial,nu-metal,3
industrial,electronica,3
industrial,speed,3
industrial,psychedelic,3
industrial,electro,3
heavy,funk,3
heavy,eastern,3
heavy,electronic,3
heavy,celtic,3
groove,funk,3
groove,psychedelic,3
groove,djent,3
groove,post-metal,3
